"Country.Code" "Region" "IncomeGroup" "TableName"
"130" "LBN" "Middle East & North Africa" "Upper middle income" "Lebanon"
"131" "LBR" "Sub-Saharan Africa" "Low income" "Liberia"
"132" "LBY" "Middle East & North Africa" "Upper middle income" "Libya"
"133" "LCA" "Latin America & Caribbean" "Upper middle income" "St. Lucia"
"134" "LCN" NA NA "Latin America & Caribbean"
"135" "LDC" NA NA "Least developed countries: UN classification"
"136" "LIC" NA NA "Low income"
"137" "LIE" "Europe & Central Asia" "High income" "Liechtenstein"
"138" "LKA" "South Asia" "Lower middle income" "Sri Lanka"
"139" "LMC" NA NA "Lower middle income"
"140" "LMY" NA NA "Low & middle income"
"141" "LSO" "Sub-Saharan Africa" "Lower middle income" "Lesotho"
"142" "LTE" NA NA "Late-demographic dividend"
"143" "LTU" "Europe & Central Asia" "High income" "Lithuania"
"144" "LUX" "Europe & Central Asia" "High income" "Luxembourg"
"145" "LVA" "Europe & Central Asia" "High income" "Latvia"
"146" "MAC" "East Asia & Pacific" "High income" "Macao SAR, China"
"147" "MAF" "Latin America & Caribbean" "High income" "St. Martin (French part)"
"148" "MAR" "Middle East & North Africa" "Lower middle income" "Morocco"
"149" "MCO" "Europe & Central Asia" "High income" "Monaco"
"150" "MDA" "Europe & Central Asia" "Upper middle income" "Moldova"
"151" "MDG" "Sub-Saharan Africa" "Low income" "Madagascar"
"152" "MDV" "South Asia" "Upper middle income" "Maldives"
"153" "MEA" NA NA "Middle East & North Africa"
"154" "MEX" "Latin America & Caribbean" "Upper middle income" "Mexico"
"155" "MHL" "East Asia & Pacific" "Upper middle income" "Marshall Islands"
"156" "MIC" NA NA "Middle income"
"157" "MKD" "Europe & Central Asia" "Upper middle income" "North Macedonia"
"158" "MLI" "Sub-Saharan Africa" "Low income" "Mali"
"159" "MLT" "Middle East & North Africa" "High income" "Malta"
"160" "MMR" "East Asia & Pacific" "Lower middle income" "Myanmar"
"161" "MNA" NA NA "Middle East & North Africa (excluding high income)"
"162" "MNE" "Europe & Central Asia" "Upper middle income" "Montenegro"
"163" "MNG" "East Asia & Pacific" "Lower middle income" "Mongolia"
"164" "MNP" "East Asia & Pacific" "High income" "Northern Mariana Islands"
"165" "MOZ" "Sub-Saharan Africa" "Low income" "Mozambique"
"166" "MRT" "Sub-Saharan Africa" "Lower middle income" "Mauritania"
"167" "MUS" "Sub-Saharan Africa" "Upper middle income" "Mauritius"
"168" "MWI" "Sub-Saharan Africa" "Low income" "Malawi"
"169" "MYS" "East Asia & Pacific" "Upper middle income" "Malaysia"
"170" "NAC" NA NA "North America"
"171" "NAM" "Sub-Saharan Africa" "Upper middle income" "Namibia"
"172" "NCL" "East Asia & Pacific" "High income" "New Caledonia"
"173" "NER" "Sub-Saharan Africa" "Low income" "Niger"
"174" "NGA" "Sub-Saharan Africa" "Lower middle income" "Nigeria"
"175" "NIC" "Latin America & Caribbean" "Lower middle income" "Nicaragua"
"176" "NLD" "Europe & Central Asia" "High income" "Netherlands"
"177" "NOR" "Europe & Central Asia" "High income" "Norway"
"178" "NPL" "South Asia" "Lower middle income" "Nepal"
"179" "NRU" "East Asia & Pacific" "High income" "Nauru"
"180" "NZL" "East Asia & Pacific" "High income" "New Zealand"
"181" "OED" NA NA "OECD members"
"182" "OMN" "Middle East & North Africa" "High income" "Oman"
"183" "OSS" NA NA "Other small states"
"184" "PAK" "South Asia" "Lower middle income" "Pakistan"
"185" "PAN" "Latin America & Caribbean" "Upper middle income" "Panama"
"186" "PER" "Latin America & Caribbean" "Upper middle income" "Peru"
"187" "PHL" "East Asia & Pacific" "Lower middle income" "Philippines"
"188" "PLW" "East Asia & Pacific" "High income" "Palau"
"189" "PNG" "East Asia & Pacific" "Lower middle income" "Papua New Guinea"
"190" "POL" "Europe & Central Asia" "High income" "Poland"
"191" "PRE" NA NA "Pre-demographic dividend"
"192" "PRI" "Latin America & Caribbean" "High income" "Puerto Rico"
"193" "PRK" "East Asia & Pacific" "Low income" "Korea, Dem. People's Rep."
"194" "PRT" "Europe & Central Asia" "High income" "Portugal"
"195" "PRY" "Latin America & Caribbean" "Upper middle income" "Paraguay"
"196" "PSE" "Middle East & North Africa" "Lower middle income" "West Bank and Gaza"
"197" "PSS" NA NA "Pacific island small states"
"198" "PST" NA NA "Post-demographic dividend"
"199" "PYF" "East Asia & Pacific" "High income" "French Polynesia"
"200" "QAT" "Middle East & North Africa" "High income" "Qatar"
"201" "ROU" "Europe & Central Asia" "Upper middle income" "Romania"
"202" "RUS" "Europe & Central Asia" "Upper middle income" "Russian Federation"
"203" "RWA" "Sub-Saharan Africa" "Low income" "Rwanda"
"204" "SAS" NA NA "South Asia"
"205" "SAU" "Middle East & North Africa" "High income" "Saudi Arabia"
"206" "SDN" "Sub-Saharan Africa" "Low income" "Sudan"
"207" "SEN" "Sub-Saharan Africa" "Lower middle income" "Senegal"
"208" "SGP" "East Asia & Pacific" "High income" "Singapore"
"209" "SLB" "East Asia & Pacific" "Lower middle income" "Solomon Islands"
"210" "SLE" "Sub-Saharan Africa" "Low income" "Sierra Leone"
"211" "SLV" "Latin America & Caribbean" "Lower middle income" "El Salvador"
"212" "SMR" "Europe & Central Asia" "High income" "San Marino"
"213" "SOM" "Sub-Saharan Africa" "Low income" "Somalia"
"214" "SRB" "Europe & Central Asia" "Upper middle income" "Serbia"
"215" "SSA" NA NA "Sub-Saharan Africa (excluding high income)"
"216" "SSD" "Sub-Saharan Africa" "Low income" "South Sudan"
"217" "SSF" NA NA "Sub-Saharan Africa"
"218" "SST" NA NA "Small states"
"219" "STP" "Sub-Saharan Africa" "Lower middle income" "São Tomé and Principe"
"220" "SUR" "Latin America & Caribbean" "Upper middle income" "Suriname"
"221" "SVK" "Europe & Central Asia" "High income" "Slovak Republic"
"222" "SVN" "Europe & Central Asia" "High income" "Slovenia"
"223" "SWE" "Europe & Central Asia" "High income" "Sweden"
"224" "SWZ" "Sub-Saharan Africa" "Lower middle income" "Eswatini"
"225" "SXM" "Latin America & Caribbean" "High income" "Sint Maarten (Dutch part)"
"226" "SYC" "Sub-Saharan Africa" "High income" "Seychelles"
"227" "SYR" "Middle East & North Africa" "Low income" "Syrian Arab Republic"
"228" "TCA" "Latin America & Caribbean" "High income" "Turks and Caicos Islands"
"229" "TCD" "Sub-Saharan Africa" "Low income" "Chad"
"230" "TEA" NA NA "East Asia & Pacific (IDA & IBRD)"
"231" "TEC" NA NA "Europe & Central Asia (IDA & IBRD)"
"232" "TGO" "Sub-Saharan Africa" "Low income" "Togo"
"233" "THA" "East Asia & Pacific" "Upper middle income" "Thailand"
"234" "TJK" "Europe & Central Asia" "Lower middle income" "Tajikistan"
"235" "TKM" "Europe & Central Asia" "Upper middle income" "Turkmenistan"
"236" "TLA" NA NA "Latin America & Caribbean (IDA & IBRD)"
"237" "TLS" "East Asia & Pacific" "Lower middle income" "Timor-Leste"
"238" "TMN" NA NA "Middle East & North Africa (IDA & IBRD)"
"239" "TON" "East Asia & Pacific" "Upper middle income" "Tonga"
"240" "TSA" NA NA "South Asia (IDA & IBRD)"
"241" "TSS" NA NA "Sub-Saharan Africa (IDA & IBRD)"
"242" "TTO" "Latin America & Caribbean" "High income" "Trinidad and Tobago"
"243" "TUN" "Middle East & North Africa" "Lower middle income" "Tunisia"
"244" "TUR" "Europe & Central Asia" "Upper middle income" "Turkey"
"245" "TUV" "East Asia & Pacific" "Upper middle income" "Tuvalu"
"246" "TZA" "Sub-Saharan Africa" "Lower middle income" "Tanzania"
"247" "UGA" "Sub-Saharan Africa" "Low income" "Uganda"
"248" "UKR" "Europe & Central Asia" "Lower middle income" "Ukraine"
"249" "UMC" NA NA "Upper middle income"
"250" "URY" "Latin America & Caribbean" "High income" "Uruguay"
"251" "USA" "North America" "High income" "United States"
"252" "UZB" "Europe & Central Asia" "Lower middle income" "Uzbekistan"
"253" "VCT" "Latin America & Caribbean" "Upper middle income" "St. Vincent and the Grenadines"
"254" "VEN" "Latin America & Caribbean" NA "Venezuela, RB"
"255" "VGB" "Latin America & Caribbean" "High income" "British Virgin Islands"
"256" "VIR" "Latin America & Caribbean" "High income" "Virgin Islands (U.S.)"
"257" "VNM" "East Asia & Pacific" "Lower middle income" "Vietnam"
"258" "VUT" "East Asia & Pacific" "Lower middle income" "Vanuatu"
"259" "WLD" NA NA "World"
"260" "WSM" "East Asia & Pacific" "Lower middle income" "Samoa"
"261" "XKX" "Europe & Central Asia" "Upper middle income" "Kosovo"
"262" "YEM" "Middle East & North Africa" "Low income" "Yemen, Rep."
"263" "ZAF" "Sub-Saharan Africa" "Upper middle income" "South Africa"
"264" "ZMB" "Sub-Saharan Africa" "Lower middle income" "Zambia"
"265" "ZWE" "Sub-Saharan Africa" "Lower middle income" "Zimbabwe"
